version,section,type,description_snippet,tabulated_date
v2.2.6,7.1.2.8.3,added,OCSP Responder Authority Information Access: Access Method,2026-04-02
v2.2.6,7.1.2.8.8,removed,OCSP Responder Certificate Policies: Any other qualifier MUST NOT clause,2026-04-02
v2.2.6,7.1.2.7.7,removed,Subscriber Certificate Authority Information Access: Access Method (entry 1),2026-04-02
v2.2.6,7.1.2.7.7,removed,Subscriber Certificate Authority Information Access: Access Method (entry 2),2026-04-02
v2.2.6,7.1.2.7.7,added,Subscriber Certificate Authority Information Access: Access Method (entry 1),2026-04-02
v2.2.6,7.1.2.8,changed,OCSP Responder Certificate Profile: OCSP Authorized Responder usage clause,2026-04-02
v2.2.6,7.1.2.7.7,removed,Subscriber Certificate Authority Information Access: Access Method (entry 3),2026-04-02
v2.2.6,7.1.2.7.7,removed,Subscriber Certificate Authority Information Access: Access Method (entry 4),2026-04-02
v2.2.6,7.1.2.7.7,added,Subscriber Certificate Authority Information Access: Access Method (entry 2),2026-04-02
v2.2.6,7.1.2.7.12,changed,Subscriber Certificate Subject Alternative Name: Any other extension NOT RECOMMENDED,2026-04-02
v2.2.6,7.1.2.7.12,changed,Subscriber Certificate Subject Alternative Name: Notes section,2026-04-02
v2.2.6,7.1.2,added,Certificate Content and Extensions: Subordinate CA Certificates list item (entry 1),2026-04-02
v2.2.6,7.1.2.4,changed,Technically Constrained Precertificate Signing CA Certificate Profile: Effective heading,2026-04-02
v2.2.6,7.1.2.4,changed,Technically Constrained Precertificate Signing CA Certificate Profile: Effective 2026-03-15 clause,2026-04-02
v2.2.6,7.1.2.7.12,changed,Subscriber Certificate Subject Alternative Name: iPAddress range authorization clause,2026-04-02
v2.2.6,7.1.2,added,Certificate Content and Extensions: Subordinate CA Certificates list item (entry 2),2026-04-02
v2.2.6,7.1.2,removed,Certificate Content and Extensions: Subordinate CA Certificates list item (entry 1),2026-04-02
v2.2.6,7.1.2,added,Certificate Content and Extensions: Subordinate CA Certificates list item (entry 3),2026-04-02
v2.2.6,7.1.2,removed,Certificate Content and Extensions: Subordinate CA Certificates list item (entry 2),2026-04-02
v2.2.6,7.1.2,removed,Certificate Content and Extensions: Technically Constrained CA Certificates list item (entry 1),2026-04-02
v2.2.6,7.1.2,added,Certificate Content and Extensions: Technically Constrained CA Certificates list item (entry 1),2026-04-02
v2.2.6,7.1.2,removed,Certificate Content and Extensions: Subordinate CA Certificates list item (entry 3),2026-04-02
v2.2.6,7.1.2,added,Certificate Content and Extensions: Subordinate CA Certificates list item (entry 4),2026-04-02
v2.2.6,7.1.2,removed,Certificate Content and Extensions: Subordinate CA Certificates list item (entry 4),2026-04-02
v2.2.6,7.1.2,removed,Certificate Content and Extensions: Technically Constrained CA Certificates list item (entry 2),2026-04-02
v2.2.6,7.1.2,added,Certificate Content and Extensions: Technically Constrained CA Certificates list item (entry 2),2026-04-02
v2.2.6,7.1.2,removed,Certificate Content and Extensions: Technically Constrained CA Certificates list item (entry 3),2026-04-02
v2.2.6,7.1.2,added,Certificate Content and Extensions: Technically Constrained CA Certificates list item (entry 3),2026-04-02
v2.2.6,7.1.2,changed,Certificate Content and Extensions: BR-compliance-asserting CA certificate scope clause,2026-04-02
v2.2.6,7.1.2,removed,Certificate Content and Extensions: CA Certificates list item,2026-04-02
v2.2.6,7.1.2,added,Certificate Content and Extensions: CA Certificates list item,2026-04-02
v2.2.6,7.1.2,removed,Certificate Content and Extensions: Cross Certificates list item,2026-04-02
v2.2.6,7.1.2,added,Certificate Content and Extensions: Cross Certificates list item,2026-04-02
v2.2.6,6.1.1.3,changed,Subscriber Key Pair Generation: Public Key corresponds to industry-demonstrated weak Private Key,2026-04-02
v2.2.6,6.1.1.3,changed,Subscriber Key Pair Generation: extKeyUsage extension id-kp-serverAuth conditional clause,2026-04-02
v2.2.6,6.3.2,changed,Certificate operational periods and key pair usage periods: Subscriber Certificates issued before clause,2026-04-02
v2.2.6,7.1,changed,Certificate profile: Section 6.1.5 Key Sizes and 6.1.6 Public Key Parameters reference,2026-04-02
v2.2.6,5.5.2,changed,Retention period for archive: archived security/certificate documentation enumeration,2026-04-02
v2.2.6,5.5.2,changed,Retention period for archive: archived verification/issuance/revocation documentation enumeration,2026-04-02
v2.2.6,5.5.2,changed,Retention period for archive: triggering events for retention period start,2026-04-02
v2.2.6,5.7.1.2,changed,Mass Revocation Plans: CA organizations MUST have a mass revocation plan clause,2026-04-02
v2.2.6,5.5.1,changed,Types of records archived: Delegated Third Party SHALL archive (entry 1),2026-04-02
v2.2.6,5.5.1,changed,Types of records archived: Delegated Third Party SHALL archive (entry 2),2026-04-02
v2.2.6,5.5.1,changed,Types of records archived: Documentation related to security of Certificate Systems,2026-04-02
v2.2.6,5.5.2,changed,Retention period for archive: 2-year retention requirement (entry 1),2026-04-02
v2.2.6,5.5.2,changed,Retention period for archive: 2-year retention requirement (entry 2),2026-04-02
v2.2.6,4.9.7,removed,CRL issuance frequency: 24-hour CRL update requirement (entry 1),2026-04-02
v2.2.6,4.9.7,changed,CRL issuance frequency: continued issuance until clause (entry 1),2026-04-02
v2.2.6,4.9.7,changed,CRL issuance frequency: continued issuance until clause (entry 2),2026-04-02
v2.2.6,5.4.3,changed,Retention period for audit log: X.509v3 basicConstraints cA field clause,2026-04-02
v2.2.6,4.9.7,removed,CRL issuance frequency: CAs issuing Subscriber Certificates header (entry 1),2026-04-02
v2.2.6,4.9.7,changed,CRL issuance frequency: CAs issuing Subscriber Certificates header (entry 1),2026-04-02
v2.2.6,4.9.7,changed,CRL issuance frequency: MUST update and publish a new CRL at least every clause,2026-04-02
v2.2.6,4.9.7,added,CRL issuance frequency: 24-hour CRL update requirement (entry 1),2026-04-02
v2.2.6,4.3.1.2,changed,Linting of to-be-signed Certificate content: Precertificate-Linting carve-out,2026-04-02
v2.2.6,4.9.1.1,added,Reasons for Revoking a Subscriber Certificate: validation of domain authorization evidence reason CRLReason 4 superseded,2026-04-02
v2.2.6,4.9.1.1,changed,Reasons for Revoking a Subscriber Certificate: FQDN/IP no longer legally permitted clause,2026-04-02
v2.2.6,4.9.7,changed,CRL issuance frequency: 24-hour CRL generation requirement after first issuance,2026-04-02
v2.2.6,4.9.7,changed,CRL issuance frequency: publish either clause,2026-04-02
v2.2.6,3.2.2.9,changed,"Multi-Perspective Issuance Corroboration: at least 4 remote Network Perspectives, 2 distinct RIRs requirement",2026-04-02
v2.2.6,3.2.2.9,changed,"Multi-Perspective Issuance Corroboration: at least 5 remote Network Perspectives, 2 distinct RIRs requirement",2026-04-02
v2.2.6,4.2.1,changed,Performing identification and authentication functions: Maximum data reuse period table header (entry 1),2026-04-02
v2.2.6,4.2.1,changed,Performing identification and authentication functions: Maximum data reuse period table header (entry 2),2026-04-02
v2.2.6,3.2.2.9,changed,Multi-Perspective Issuance Corroboration: SOC report reliance clause,2026-04-02
v2.2.6,3.2.2.9,removed,Multi-Perspective Issuance Corroboration: Phased Implementation Timeline header,2026-04-02
v2.2.6,3.2.2.9,changed,"Multi-Perspective Issuance Corroboration: at least 2 remote Network Perspectives, MAY proceed clause",2026-04-02
v2.2.6,3.2.2.9,changed,"Multi-Perspective Issuance Corroboration: at least 2 remote Network Perspectives, MUST ensure quorum clause",2026-04-02
v2.2.6,3.2.2.9,changed,"Multi-Perspective Issuance Corroboration: at least 3 remote Network Perspectives, 2 distinct RIRs requirement",2026-04-02
v2.2.6,3.2.2.8.1,changed,DNSSEC Validation of CAA Records: trust anchor DNS query requirement,2026-04-02
v2.2.6,3.2.2.8.1,changed,DNSSEC Validation of CAA Records: validation on DNS queries clause,2026-04-02
v2.2.6,3.2.2.8.1,changed,DNSSEC Validation of CAA Records: SERVFAIL handling clause,2026-04-02
v2.2.6,3.2.2.9,changed,Multi-Perspective Issuance Corroboration: response set affirmative assessment clause,2026-04-02
v2.2.6,3.2.2.4.19,changed,Agreed-Upon Change to Website - ACME: Multi-Perspective Issuance Corroboration with token observation requirement,2026-04-02
v2.2.6,3.2.2.5,removed,Authentication for an IP Address: Applicant authority validation reuse clause,2026-04-02
v2.2.6,3.2.2.5.4,changed,Any Other Method: section heading (entry 1),2026-04-02
v2.2.6,3.2.2.5.4,changed,Any Other Method: section heading (entry 2),2026-04-02
v2.2.6,3.2.2.4.18,removed,Agreed-Upon Change to Website v2: redirect-following clause,2026-04-02
v2.2.6,3.2.2.4.18,changed,Agreed-Upon Change to Website v2: Multi-Perspective Issuance Corroboration with Random Value/Request Token observation,2026-04-02
v2.2.6,3.2.2.4.19,added,Agreed-Upon Change to Website - ACME: redirect-following clause,2026-04-02
v2.2.6,3.2.2.4.19,removed,Agreed-Upon Change to Website - ACME: redirect-following clause (deletion),2026-04-02
v2.2.6,3.2.2.4.4,changed,"Email to a Constructed Address: method retired, MUST NOT be used; prior validations SHALL NOT be used",2026-04-02
v2.2.6,3.2.2.4.7,changed,DNS Change: section heading,2026-04-02
v2.2.6,3.2.2.4.7,changed,"DNS Change: Random Value/Request Token in DNS CNAME, TXT or CAA record method",2026-04-02
v2.2.6,3.2.2.4.18,added,Agreed-Upon Change to Website v2: redirect-following clause,2026-04-02
v2.2.6,2,removed,PUBLICATION AND REPOSITORY RESPONSIBILITIES: section number/heading,2026-04-02
v2.2.6,2.2,added,Publication of information: CA SHALL publicly disclose CA business practices per audit scheme,2026-04-02
v2.2.6,3.2.2.4,changed,Validation of Domain Authorization or Control: Applicant scope including Parent/Subsidiary/Affiliate,2026-04-02
v2.2.6,3.2.2.4,changed,Validation of Domain Authorization or Control: RFC 6840 Section 4 security concerns clause,2026-04-02
v2.2.6,1.6.3,added,References: section heading,2026-04-02
v2.2.6,1.6.3,added,References: RFC 9082 RDAP Query Format reference,2026-04-02
v2.2.6,1.6.1,added,Definitions: Persistent DCV TXT Record,2026-04-02
v2.2.6,1.6.1,changed,Definitions: Root Certificate,2026-04-02
v2.2.6,1.3.2,changed,Registration Authorities: Delegated Third Party Section 3.2 requirements clause,2026-04-02
v2.2.6,1.6.1,changed,Definitions: Certificate Problem Report,2026-04-02
v2.2.6,1.6.1,changed,Definitions: Legal Entity,2026-04-02
v2.2.6,1.2.1,added,Revisions: 2.2.5 SC097 Sunset SHA-1 signatures entry,2026-04-02
v2.2.6,1.2.2,removed,Relevant Dates: table column header (Compliance Section(s) Summary),2026-04-02
v2.2.6,1.1,changed,Overview: applicability scope clause,2026-04-02
v2.2.6,1.2.1,changed,Revisions: CA/Browser Forum heading,2026-04-02
